0
1|Agriculture
2|Mine
3|Manufacturing
4|Electricity, gas and water production
5|Construction
6|Transportation, Storage and import-export
7|IT, computer services and software
8|Wholesale and retail trade
9|Restauration and Catering Services
10|Financial Industry
11|Real Estate
12|Business Services
13|Research, Technical Service and Geological Prospecting
14|Environment
15|Education
16|Health, Social Security and Social Welfare services
17|Cultural, Sports and Entertainment
18|Public relations, Media and Communication
19|International Business
20|Other
