Log data
地址       消息
68800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFBase.dll
68D60000   卸载 C:\WINDOWS.0\system32\dbghelp.dll
69F00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\HummerEngine.dll
71A10000   卸载 C:\WINDOWS.0\system32\ws2help.dll
71A20000   卸载 C:\WINDOWS.0\system32\ws2_32.dll
73640000   卸载 C:\WINDOWS.0\system32\MSCTFIME.IME
73AF0000   卸载 C:\WINDOWS.0\system32\avicap32.dll
73B40000   卸载 C:\WINDOWS.0\system32\msvfw32.dll
73FA0000   卸载 C:\WINDOWS.0\system32\usp10.dll
74680000   卸载 C:\WINDOWS.0\system32\MSCTF.dll
74BE0000   卸载 C:\WINDOWS.0\system32\oleacc.dll
74CF0000   卸载 C:\WINDOWS.0\system32\mlang.dll
75C60000   卸载 C:\WINDOWS.0\system32\urlmon.dll
76060000   卸载 C:\WINDOWS.0\system32\setupapi.dll
762D0000   卸载 C:\WINDOWS.0\system32\winsta.dll
762F0000   卸载 C:\WINDOWS.0\system32\msimg32.dll
76300000   卸载 C:\WINDOWS.0\system32\imm32.dll
76320000   卸载 C:\WINDOWS.0\system32\comdlg32.dll
765E0000   卸载 C:\WINDOWS.0\system32\crypt32.dll
76680000   卸载 C:\WINDOWS.0\system32\wininet.dll
76990000   卸载 C:\WINDOWS.0\system32\ole32.dll
76B10000   卸载 C:\WINDOWS.0\system32\winmm.dll
76BC0000   卸载 C:\WINDOWS.0\system32\psapi.dll
76C00000   卸载 C:\WINDOWS.0\system32\wintrust.dll
76C60000   卸载 C:\WINDOWS.0\system32\imagehlp.dll
76D30000   卸载 C:\WINDOWS.0\system32\iphlpapi.dll
76DB0000   卸载 C:\WINDOWS.0\system32\msasn1.dll
76E50000   卸载 C:\WINDOWS.0\system32\rtutils.dll
76E60000   卸载 C:\WINDOWS.0\system32\rasman.dll
76E80000   卸载 C:\WINDOWS.0\system32\tapi32.dll
76EB0000   卸载 C:\WINDOWS.0\system32\rasapi32.dll
76F20000   卸载 C:\WINDOWS.0\system32\wtsapi32.dll
76FA0000   卸载 C:\WINDOWS.0\system32\clbcatq.dll
77020000   卸载 C:\WINDOWS.0\system32\comres.dll
770F0000   卸载 C:\WINDOWS.0\system32\oleaut32.dll
77180000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
77BD0000   卸载 C:\WINDOWS.0\system32\version.dll
77BE0000   卸载 C:\WINDOWS.0\system32\msvcrt.dll
77D10000   卸载 C:\WINDOWS.0\system32\USER32.dll
77DA0000   卸载 C:\WINDOWS.0\system32\ADVAPI32.dll
77E50000   卸载 C:\WINDOWS.0\system32\RPCRT4.dll
77EF0000   卸载 C:\WINDOWS.0\system32\GDI32.dll
77F40000   卸载 C:\WINDOWS.0\system32\shlwapi.dll
77FC0000   卸载 C:\WINDOWS.0\system32\Secur32.dll
78130000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\MSVCR80.dll
7C420000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\msvcp80.dll
7C630000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.ATL_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_473666fd\ATL80.DLL
7C800000   卸载 C:\WINDOWS.0\system32\kernel32.dll
7C920000   卸载 C:\WINDOWS.0\system32\ntdll.dll
7D590000   卸载 C:\WINDOWS.0\system32\shell32.dll
           进程已终止

           文件 'C:\Program Files\Tencent\QQIntl\Bin\QQ.exe'
           ID 00000EBC 的新进程已创建
00401BFB   ID 00000E84 的主线程已创建
00400000   Module C:\Program Files\Tencent\QQIntl\Bin\QQ.exe
76990000   Module C:\WINDOWS.0\system32\ole32.dll
77BE0000   Module C:\WINDOWS.0\system32\msvcrt.dll
77D10000   Module C:\WINDOWS.0\system32\USER32.dll
77DA0000   Module C:\WINDOWS.0\system32\ADVAPI32.dll
77E50000   Module C:\WINDOWS.0\system32\RPCRT4.dll
77EF0000   Module C:\WINDOWS.0\system32\GDI32.dll
77FC0000   Module C:\WINDOWS.0\system32\Secur32.dll
78130000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\MSVCR80.dll
7C630000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.ATL_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_473666fd\ATL80.DLL
7C800000   Module C:\WINDOWS.0\system32\kernel32.dll
7C920000   Module C:\WINDOWS.0\system32\ntdll.dll
76300000   Module C:\WINDOWS.0\system32\imm32.dll
62C20000   Module C:\WINDOWS.0\system32\lpk.dll
